"","EDCS-ID","province","place","start_yr","end_yr_1","inscr_type1","inscr_type2","inscr_type3","inscription","clean_text_interpretive_word","language","Latitude","Longitude","Material"
"286","EDCS-73600041","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"?","",NA,32.5191381,36.4805732,"lapis"
"287","EDCS-73600042","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"?","",NA,32.5191381,36.4805732,"lapis"
"288","EDCS-73600043","Arabia","Busra / Bostra",214,214,"miliaria",NA,NA,"Imp(erator) Caes(ar) M(arcus) Aurelius Severus Ant[oninus] Pius Felix Aug(ustus) Parthicus [max(imus)] Britan(n)icus [max(imus)] pont(ifex) [max(imus) trib(unicia) pot(estate) XVII imperator III co(n)s(ul) IIII p(ater) p(atriae) proco(n)s(ul) per Furnium Iulianum leg(atum) pr(o) pr(aetore) co(n)s(ulem) des(ignatum) m(ilia) p(assuum) VIII //","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XVII imperator III consul IIII pater patriae proconsul per Furnium Iulianum legatum pro praetore consulem designatum milia passuum VIII","GR",32.5191381,36.4805732,"lapis"
"289","EDCS-73600044","Arabia","Busra / Bostra",NA,114,"miliaria","tituli operum","tituli sacri","to 114;   b:  214 to 214         

 
 
[Imp(erator) Caesar divi Nervae fil(ius) Nerva Tra]ianus [Aug(ustus) Ge]rmanicus [Dacicus pont(ifex)] maximus [trib(unicia) pot(estate) XVIII imp(erator) VII co(n)s(ul) VI p(ater) p(atriae) redacta in form]am [provinciae] Arabia [viam no]vam a finibus [Syriae] usque ad [mare rubru]m aperuit [et stravit per] C(aium) [Claudium] Sever[um] leg(atum) [Aug(usti)] pro pr(aetore) [m(ilia) p(assuum) CXCVIII] // Imp(erator) Caes(ar) M(arcus) Aurelius Severus Antoninus Pius Felix Aug(ustus) Parthicus max(imus) Britan(n)icus max(imus) pont(ifex) max(imus) trib(unicia) pot(estate) XVII imperator III co(n)s(ul) IIII p(ater) p(atriae) proco(n)s(ul) per Furnium Iulianum leg(atum) pr(o) pr(aetore) co(n)s(ulem) des(ignatum)","Imperator Caesar divi Nervae filius Nerva Traianus Augustus Germanicus Dacicus pontifex maximus tribunicia potestate XVIII imperator VII consul VI pater patriae redacta in formam provinciae Arabia viam novam a finibus Syriae us que ad mare rubrum aperuit et stravit per Caium Claudium Severum legatum Augusti pro praetore milia passuum CXCVIII Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XVII imperator III consul IIII pater patriae proconsul per Furnium Iulianum legatum pro praetore consulem designatum",NA,32.5191381,36.4805732,"lapis"
"290","EDCS-73600045","Arabia","Busra / Bostra",214,214,"miliaria",NA,NA,"Imp(erator) Caes(ar) M(arcus) Aurelius Severus Antoninus Pius Felix Aug(ustus) Parthicus max(imus) Britan(n)icus max(imus) pont(ifex) max(imus) trib(unicia) pot(estate) XVII imperator III co(n)s(ul) IIII p(ater) p(atriae) proco(n)s(ul) per Furnium Iulianum leg(atum) pr(o) pr(aetore) co(n)s(ulem) des(ignatum) //","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XVII imperator III consul IIII pater patriae proconsul per Furnium Iulianum legatum pro praetore consulem designatum","GR",32.5191381,36.4805732,"lapis"
"291","EDCS-73600046","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"?","",NA,32.5191381,36.4805732,"lapis"
"292","EDCS-73600047","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"?","",NA,32.5191381,36.4805732,"lapis"
"293","EDCS-73600048","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"?","",NA,32.5191381,36.4805732,"lapis"
"294","EDCS-73600049","Arabia","Busra / Bostra",214,214,"miliaria",NA,NA,"Imp(erator) Caes(ar) M(arcus) Aurelius Severus Antoninus Pius Felix Aug(ustus) Parthicus max(imus) Britan(n)icus max(imus) pont(ifex) max(imus) trib(unicia) pot(estate) XVII imperator III co(n)s(ul) IIII p(ater) p(atriae) proco(n)s(ul) per Furnium Iulianum leg(atum) pr(o) pr(aetore) co(n)s(ulem) des(ignatum) //","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XVII imperator III consul IIII pater patriae proconsul per Furnium Iulianum legatum pro praetore consulem designatum","GR",32.5191381,36.4805732,"lapis"
"295","EDCS-73600050","Arabia","Busra / Bostra",270,271,"miliaria",NA,NA,"Im[p(eratori)] Caesari L(ucio) Iulio Aurelio Septimio Vaballatho Athenodoro Persico maximo Adiabenico maximo Pio Felici Invicto Au[g(usto)","Imperatori Caesari Lucio Iulio Aurelio Septimio Vaballatho Athenodoro Persico maximo Adiabenico maximo Pio Felici Invicto Augusto",NA,32.5191381,36.4805732,"lapis"
"296","EDCS-73600051","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"?","",NA,32.5191381,36.4805732,"lapis"
"297","EDCS-73600052","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"?","",NA,32.5191381,36.4805732,"lapis"
"298","EDCS-73600053","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"?","",NA,32.5191381,36.4805732,"lapis"
"299","EDCS-73600054","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"?","",NA,32.5191381,36.4805732,"lapis"
"300","EDCS-73600055","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"?","",NA,32.5191381,36.4805732,"lapis"
"301","EDCS-73600056","Arabia","Busra / Bostra",NA,214,"miliaria",NA,NA,"to 214;   b:  305 to 306         

 
 
Imp(erator) Caes(ar) M(arcus) Aurelius Severus Antoninus Pius Felix Aug(ustus) Parthicus max(imus) Britan(n)icus max(imus) pont(ifex) max(imus) trib(unicia) pot(estate) XVII imperator III co(n)s(ul) IIII p(ater) p(atriae) proco(n)s(ul) per Furnium Iulianum leg(atum) pr(o) pr(aetore) co(n)s(ulem) des(ignatum) //  [D(ominis) n(ostris) 3 C(aio)] Val[erio Diocl]etiano [et M(arco) Aur(elio) Valerio Maxim]iano pat[ribus Aug(ustis)] et [Imp(eratoribus) Caes(aribus) Fl(avio) Val(erio) Cons]tantio [et Gal(erio) Val(erio) Maximiano] Aug(ustis) et [Gal(erio) Val(erio) Max]imiano P(io) F(elici) et [Fl(avio) Val(erio) Severo(?) P(io) F(elici)","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XVII imperator III consul IIII pater patriae proconsul per Furnium Iulianum legatum pro praetore consulem designatum Dominis nostris Caio Valerio Diocletiano et Marco Aurelio Valerio Maximiano patribus Augustis et Imperatoribus Caesaribus Flavio Valerio Constantio et Galerio Valerio Maximiano Augustis et Galerio Valerio Maximiano Pio Felici et Flavio Valerio Severo Pio Felici","GR",32.5191381,36.4805732,"lapis"
"302","EDCS-73600057","Arabia","Busra / Bostra",NA,219,"miliaria","tituli sacri",NA,"to 219;   b:  285 to 292         

 
 
Imp(eratori) Caesari Marco Aurelio [Antoni]no [Pio] Felici Aug(usto) divi M[a]gni Antoni[ni] fil(io) p[ont(ifici) max(imo) trib(unicia) pot(estate) 3 co(n)s(uli) 3 p(atri) p(atriae) sub Fl(avio)] Iuliano leg(ato) eius pr(o) pr(aetore) [m(ilia) p(assuum) XII] //  // Imp(eratori) C(aesari) C(aio) Val(erio) Diocletian[o] P(io) F(elici) Invicto A[ug(usto)] et Imp(eratori) C(aesari) Va[l(erio)] Maximiano P(io) F(elici) Invicto [Aug(usto)","Imperatori Caesari Marco Aurelio Antonino Pio Felici Augusto divi Magni Antonini filio pontifici maximo tribunicia potestate consuli patri patriae sub Flavio Iuliano legato eius pro praetore milia passuum XII Imperatori Caesari Caio Valerio Diocletiano Pio Felici Invicto Augusto et Imperatori Caesari Valerio Maximiano Pio Felici Invicto Augusto","GR",32.5191381,36.4805732,"lapis"
"303","EDCS-73600058","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"?","",NA,32.5191381,36.4805732,"lapis"
"304","EDCS-73600059","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"?","",NA,32.5191381,36.4805732,"lapis"
"305","EDCS-73600060","Arabia","Busra / Bostra",114,114,"miliaria","tituli operum","tituli sacri","Imp(erator) Caesar divi Nervae fil(ius) Nerva Traianus Aug(ustus) Germanicus Dacicus pont(ifex) maximus trib(unicia) pot(estate) XVIII imp(erator) VII co(n)s(ul) VI p(ater) p(atriae) redacta in formam provinciae Arabia viam novam a finibus Syriae usque ad mare rubrum aperuit et stravit per C(aium) Claudium Severum leg(atum) Aug(usti) pro pr(aetore) m(ilia) p(assuum) CLXXI","Imperator Caesar divi Nervae filius Nerva Traianus Augustus Germanicus Dacicus pontifex maximus tribunicia potestate XVIII imperator VII consul VI pater patriae redacta in formam provinciae Arabia viam novam a finibus Syriae us que ad mare rubrum aperuit et stravit per Caium Claudium Severum legatum Augusti pro praetore milia passuum CLXXI",NA,32.5191381,36.4805732,"lapis"
"306","EDCS-73600061","Arabia","Busra / Bostra",194,194,"miliaria",NA,NA,"Imp[erator Caesar] Luciu[s Septimius] Severu[s Pertinax Aug(ustus)] p(ater) p(atriae) tr[ib(unicia) pot(estate) II] i[mp(erator) IIII co(n)s(ul) II per P(ublium) Ael(ium)] Severi[anum Maximum] leg(atum) [Aug(usti) pr(o) pr(aetore) m(ilia) p(assuum) XIIII] //","Imperator Caesar Lucius Septimius Severus Pertinax Augustus pater patriae tribunicia potestate II imperator IIII consul II per Publium Aelium Severianum Maximum legatum Augusti pro praetore milia passuum XIIII","GR",32.5191381,36.4805732,"lapis"
"307","EDCS-73600063","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"?","",NA,32.5191381,36.4805732,"lapis"
"308","EDCS-73600064","Arabia","Busra / Bostra",NA,114,"miliaria",NA,NA,"to 114;   b:  193 to 193;   c:  292 to 304         

 
 
[Imp(erator) Cae]sar [3]ius [3] co(n)s(ul) [3]oro [3]orum [3] [m(ilia) p(assuum)] XV //  // Imp(erator) C[aesar] P(ublius) [Helvius Perti]na[x Aug(ustus) prin]cep[s senatus] co(n)s(ul) [II pontifex] m[aximus trib(unicia)] potes[tate p(ater) p(atriae) et Cae]sar [P(ublius) Helvius Per]tin[ax filius princeps] iuve[ntutis per] P(ublium) Ae[lium Severia]nu(m) Maxi[mum leg(atum) Aug(usti) pro] pr[aetorem m(ilia) p(assuum)] XV //  // ] Im[p(eratori) Caes(ari)] G(aio!) Aur(elio) [Valerio Diocletiano // [Imp(erator) Cae]sar [3]ius [3] co(n)s(ul) [3]oro [3]orum [3] [m(ilia) p(assuum)] XV //","Imperator Caesar ius consul oro orum milia passuum XV Imperator Caesar Publius Helvius Pertinax Augustus princeps senatus consul II pontifex maximus tribunicia potestate pater patriae et Caesar Publius Helvius Pertinax filius princeps iuventutis per Publium Aelium Severianum Maximum legatum Augusti pro praetorem milia passuum XV Imperatori Caesari Gaio Aurelio Valerio Diocletiano Imperator Caesar ius consul oro orum milia passuum XV","GR",32.5191381,36.4805732,"lapis"
"309","EDCS-73600065","Arabia","Busra / Bostra",NA,214,"miliaria",NA,NA,"to 214;   b:  292 to 304         

 
 
Imp(erator) Caes(ar) M(arcus) Aurelius Severus Antoninus Pius Felix Aug(ustus) Parthicus max(imus) Britan(n)icus max(imus) pont(ifex) max(imus) trib(unicia) pot(estate) XVII imperator III co(n)s(ul) IIII p(ater) p(atriae) proco(n)s(ul) per Furnium Iulianum leg(atum) pr(o) pr(aetore) co(n)s(ulem) des(ignatum) m(ilia) p(assuum) XV //  // Imp(eratori) Caes(ari) Gaio Aurelio Valerio Diocletiano Invicto Aug(usto) et Imp(eratori) Caes(ari) Marco Aurelio Valerio[Maximiano Pio Felici Invicto Aug(usto) et Flavio Valerio Constantio et Galerio Valerio Maximiano nob(ilissimis) Caes(aribus)","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XVII imperator III consul IIII pater patriae proconsul per Furnium Iulianum legatum pro praetore consulem designatum milia passuum XV Imperatori Caesari Gaio Aurelio Valerio Diocletiano Invicto Augusto et Imperatori Caesari Marco Aurelio ValerioMaximiano Pio Felici Invicto Augusto et Flavio Valerio Constantio et Galerio Valerio Maximiano nobilissimis Caesaribus","GR",32.5191381,36.4805732,"lapis"
"310","EDCS-73600066","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"?","",NA,32.5191381,36.4805732,"lapis"
"311","EDCS-73600067","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"?","",NA,32.5191381,36.4805732,"lapis"
"312","EDCS-73600068","Arabia","Busra / Bostra",NA,214,"miliaria",NA,NA,"to 214;   b:  285 to 292         

 
 
Imp(erator) Caes(ar) M(arcus) Aurelius Severus Antoninus Pius Felix Aug(ustus) Parthicus max(imus) Britan(n)icus max(imus) pont(ifex) max(imus) trib(unicia) pot(estate) XVII imperator III co(n)s(ul) IIII p(ater) p(atriae) proco(n)s(ul) per Furnium Iulianum leg(atum) pr(o) pr(aetore) co(n)s(ulem) des(ignatum) m(ilia) p(assuum) XVI IS // Imp(eratori) Caesar[i] C(aio) Aur(elio) Valerio Diocletiano P(io) F(elici) Invict[o] Aug(usto) et Imp(eratori) Caesar[i] M(arco) Aurel(io) Val(erio) Maximiano P(io) F(elici) Invict[o] Aug(usto) [m(ilia) p(assuum)] XVI","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XVII imperator III consul IIII pater patriae proconsul per Furnium Iulianum legatum pro praetore consulem designatum milia passuum XVI IS Imperatori Caesari Caio Aurelio Valerio Diocletiano Pio Felici Invicto Augusto et Imperatori Caesari Marco Aurelio Valerio Maximiano Pio Felici Invicto Augusto milia passuum XVI",NA,32.5191381,36.4805732,"lapis"
